Index,Country,Rank (2015),Happiness Score (2015),Family (2015),Health (2015),Freedom (2015),Perceptions of Corruption (2015),Generosity (2015),Rank (2016),Happiness Score (2016),Family (2016),Health (2016),Freedom (2016),Perceptions of Corruption (2016),Generosity (2016),Rank (2017),Happiness Score (2017),Family (2017),Health (2017),Freedom (2017),Perceptions of Corruption (2017),Generosity (2017),Rank (2018),Happiness Score (2018),Family (2018),Health (2018),Freedom (2018),Perceptions of Corruption (2018),Generosity (2018),Rank (2019),Happiness Score (2019),Family (2019),Health (2019),Freedom (2019),Perceptions of Corruption (2019),Generosity (2019),Rank (2022),Happiness Score (2022),Family (2022),Health (2022),Freedom (2022),Perceptions of Corruption (2022),Generosity (2022)
66,Indonesia,74.0,5.399,1.0870799999999998,0.63793,0.46611,0.0,0.51535,79.0,5.314,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,81.0,5.26200008392334,1.2744446992874099,0.49234572052955605,0.443323463201523,0.0153171354904771,0.611704587936401,96.0,5.093,1.215,0.522,0.5379999999999999,0.018000000000000002,0.484,92.0,5.192,1.203,0.66,0.491,0.027999999999999997,0.498,87.0,5.24,0.883,0.539,0.62,0.047,0.46799999999999997
67,Vietnam,75.0,5.36,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,96.0,5.061,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,94.0,5.07399988174438,1.27749133110046,0.6521689891815191,0.571055591106415,0.0876332372426987,0.23496805131435397,95.0,5.103,1.365,0.7020000000000001,0.618,0.079,0.177,94.0,5.175,1.3459999999999999,0.851,0.5429999999999999,0.073,0.147,77.0,5.485,0.932,0.611,0.7070000000000001,0.105,0.14300000000000002
68,Turkey,76.0,5.332000000000001,0.94632,0.73172,0.22815,0.15746,0.12253,78.0,5.388999999999999,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,69.0,5.5,1.33775317668915,0.6376056075096129,0.300740599632263,0.0996715798974037,0.0466930419206619,74.0,5.483,1.38,0.6859999999999999,0.324,0.109,0.106,79.0,5.372999999999999,1.36,0.8079999999999999,0.195,0.106,0.083,112.0,4.744,0.865,0.7020000000000001,0.209,0.115,0.087
69,Kyrgyzstan,77.0,5.2860000000000005,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,85.0,5.185,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432,98.0,5.0040001869201705,1.39423859119415,0.553457796573639,0.454943388700485,0.0394391790032387,0.42858037352562,92.0,5.131,1.416,0.594,0.54,0.035,0.281,86.0,5.261,1.4380000000000002,0.723,0.508,0.023,0.3,64.0,5.827999999999999,1.109,0.638,0.693,0.025,0.20800000000000002
70,Nigeria,78.0,5.268,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,103.0,4.875,0.64498,0.05108,0.27854,0.0305,0.23219,95.0,5.07399988174438,1.21577048301697,0.0569157302379608,0.394952565431595,0.0261215660721064,0.23094719648361198,91.0,5.155,1.172,0.048,0.462,0.032,0.201,85.0,5.265,1.111,0.245,0.426,0.040999999999999995,0.215,118.0,4.552,0.732,0.3,0.444,0.038,0.175
73,Pakistan,81.0,5.194,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,92.0,5.132000000000001,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,80.0,5.26900005340576,0.6726906895637509,0.40204778313636796,0.23521526157856,0.12434806674718901,0.31544601917266807,75.0,5.472,0.81,0.424,0.33399999999999996,0.113,0.21600000000000003,67.0,5.653,0.8859999999999999,0.535,0.313,0.098,0.22,121.0,4.516,0.413,0.374,0.44799999999999995,0.11199999999999999,0.18100000000000002
74,Jordan,82.0,5.192,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,80.0,5.303,0.86216,0.60712,0.36023,0.13297,0.14262,74.0,5.33599996566772,1.2390888929367099,0.6045900583267211,0.418421149253845,0.11980327218771002,0.17217046022415197,90.0,5.1610000000000005,1.265,0.645,0.46799999999999997,0.134,0.13,101.0,4.906000000000001,1.225,0.815,0.38299999999999995,0.13,0.11,134.0,4.152,0.7240000000000001,0.675,0.47600000000000003,0.2,0.057999999999999996
75,Montenegro,82.0,5.192,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,88.0,5.1610000000000005,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,83.0,5.23699998855591,1.23837649822235,0.6674646735191351,0.194989055395126,0.0881741940975189,0.197911024093628,81.0,5.347,1.2790000000000001,0.7290000000000001,0.259,0.081,0.111,73.0,5.523,1.361,0.871,0.19699999999999998,0.08,0.142,75.0,5.547000000000001,1.023,0.659,0.46,0.077,0.135
76,China,84.0,5.14,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,83.0,5.245,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,79.0,5.2729997634887695,1.16083741188049,0.741415500640869,0.47278770804405196,0.0227942746132612,0.0288068410009146,86.0,5.246,1.1420000000000001,0.799,0.597,0.10300000000000001,0.028999999999999998,93.0,5.191,1.125,0.893,0.521,0.1,0.057999999999999996,72.0,5.585,0.958,0.705,0.6559999999999999,0.142,0.099
77,Zambia,85.0,5.129,0.91612,0.29924,0.48827,0.12468,0.19591,106.0,4.795,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,116.0,4.513999938964839,1.00318729877472,0.25783589482307395,0.461603492498398,0.0782135501503944,0.249580144882202,125.0,4.377,1.047,0.295,0.503,0.08199999999999999,0.221,138.0,4.107,1.058,0.426,0.431,0.087,0.247,137.0,3.76,0.5770000000000001,0.306,0.525,0.083,0.203
